Date,Region,Category,Sales,Inventory,Promo_Flag,Holiday_Flag,Year,Month,Day,DayOfWeek,Quarter,IsLocalHoliday,Sales_Lag_1,Sales_Lag_7,Sales_Lag_30,Sales_Rolling_Mean_7,Sales_Rolling_Mean_30,Sales_Rolling_Std_7
2023-03-06,East,Clothing,69,38,0,0,2023,3,6,0,1,0,74.0,161.0,151.0,155.28571428571428,150.8,111.00257397273013
2023-03-07,East,Clothing,71,43,0,0,2023,3,7,1,1,0,69.0,140.0,214.0,145.42857142857142,146.03333333333333,115.55641788445033
2023-03-08,East,Clothing,75,80,0,0,2023,3,8,2,1,0,71.0,120.0,193.0,139.0,142.1,118.42297074469968
2023-03-09,East,Clothing,198,138,0,0,2023,3,9,3,1,0,75.0,74.0,158.0,156.71428571428572,143.43333333333334,116.33531175831678
2023-03-10,East,Clothing,124,130,1,0,2023,3,10,4,1,0,198.0,364.0,108.0,122.42857142857143,143.96666666666667,71.96957028924827
2023-03-11,East,Clothing,273,300,0,0,2023,3,11,5,1,0,124.0,246.0,63.0,126.28571428571429,150.96666666666667,79.9744006661179
2023-03-12,East,Clothing,176,239,0,0,2023,3,12,6,1,0,273.0,74.0,96.0,140.85714285714286,153.63333333333333,78.13114737719002
2023-03-13,East,Clothing,323,422,1,0,2023,3,13,0,1,0,176.0,69.0,251.0,177.14285714285714,156.03333333333333,96.1100559626455
2023-03-14,East,Clothing,74,97,0,0,2023,3,14,1,1,0,323.0,71.0,189.0,177.57142857142858,152.2,95.56299343514574
2023-03-15,East,Clothing,228,335,0,0,2023,3,15,2,1,0,74.0,75.0,185.0,199.42857142857142,153.63333333333333,85.1192440890173
2023-03-16,East,Clothing,97,106,0,0,2023,3,16,3,1,0,228.0,198.0,172.0,185.0,151.13333333333333,93.54499808470071
2023-03-17,East,Clothing,208,111,0,0,2023,3,17,4,1,0,97.0,124.0,209.0,197.0,151.1,89.72550733579976
2023-03-18,East,Clothing,100,59,0,0,2023,3,18,5,1,0,208.0,273.0,186.0,172.28571428571428,148.23333333333332,89.1267155715469
2023-03-19,East,Clothing,128,72,0,0,2023,3,19,6,1,0,100.0,176.0,81.0,165.42857142857142,149.8,90.62717977674086
2023-03-20,East,Clothing,325,203,1,0,2023,3,20,0,1,0,128.0,323.0,204.0,165.71428571428572,153.83333333333334,91.2080301393729
2023-03-21,East,Clothing,182,219,0,0,2023,3,21,1,1,0,325.0,74.0,115.0,181.14285714285714,156.06666666666666,81.75253017782497
2023-03-22,East,Clothing,231,120,0,0,2023,3,22,2,1,0,182.0,228.0,100.0,181.57142857142858,160.43333333333334,82.04644445446152
2023-03-23,East,Clothing,189,119,0,0,2023,3,23,3,1,0,231.0,97.0,78.0,194.71428571428572,164.13333333333333,73.12481176206943
2023-03-24,East,Clothing,125,75,0,0,2023,3,24,4,1,0,189.0,208.0,147.0,182.85714285714286,163.4,77.2257050716244
2023-03-25,East,Clothing,298,296,1,0,2023,3,25,5,1,0,125.0,100.0,119.0,211.14285714285714,169.36666666666667,78.07566537538773
2023-03-26,East,Clothing,136,78,0,0,2023,3,26,6,1,0,298.0,128.0,185.0,212.28571428571428,167.73333333333332,76.70226916616019
2023-03-27,East,Clothing,280,355,1,0,2023,3,27,0,1,0,136.0,325.0,47.0,205.85714285714286,175.5,66.94631822445143
2023-03-28,East,Clothing,245,214,0,0,2023,3,28,1,1,0,280.0,182.0,176.0,214.85714285714286,177.8,67.43744897169168
2023-03-29,East,Clothing,178,104,0,0,2023,3,29,2,1,0,245.0,231.0,161.0,207.28571428571428,178.36666666666667,68.29278704156651
2023-03-30,East,Clothing,244,210,0,0,2023,3,30,3,1,0,178.0,189.0,140.0,215.14285714285714,181.83333333333334,68.99861972394461
2023-03-31,East,Clothing,177,263,0,0,2023,3,31,4,1,0,244.0,125.0,120.0,222.57142857142858,183.73333333333332,59.8716881975032
2023-04-01,East,Clothing,201,295,0,0,2023,4,1,5,2,0,177.0,298.0,74.0,208.71428571428572,187.96666666666667,49.89894549892569
2023-04-02,East,Clothing,251,265,0,0,2023,4,2,6,2,0,201.0,136.0,364.0,225.14285714285714,184.2,39.89748768794245
2023-04-03,East,Clothing,133,86,0,0,2023,4,3,0,2,0,251.0,280.0,246.0,204.14285714285714,180.43333333333334,44.61848858723834
2023-04-04,East,Clothing,177,212,0,0,2023,4,4,1,2,0,133.0,245.0,74.0,194.42857142857142,183.86666666666667,41.536558767978214
2023-04-05,East,Clothing,113,66,0,0,2023,4,5,2,2,0,177.0,178.0,69.0,185.14285714285714,185.33333333333334,51.81514762894646
2023-04-06,East,Clothing,155,183,0,0,2023,4,6,3,2,0,113.0,244.0,71.0,172.42857142857142,188.13333333333333,45.50039246298548
2023-04-07,East,Clothing,209,284,0,0,2023,4,7,4,2,0,155.0,177.0,75.0,177.0,192.6,47.59551799627067
2023-04-08,East,Clothing,158,110,0,0,2023,4,8,5,2,0,209.0,201.0,198.0,170.85714285714286,191.26666666666668,46.74907689437495
2023-04-09,East,Clothing,115,151,0,0,2023,4,9,6,2,0,158.0,251.0,124.0,151.42857142857142,190.96666666666667,34.56326153040303
2023-04-10,East,Clothing,58,94,0,0,2023,4,10,0,2,0,115.0,133.0,273.0,140.71428571428572,183.8,49.58734477570616
2023-04-11,East,Clothing,140,164,0,0,2023,4,11,1,2,0,58.0,177.0,176.0,135.42857142857142,182.6,46.97821176835462
2023-04-12,East,Clothing,110,66,0,0,2023,4,12,2,2,0,140.0,113.0,323.0,135.0,175.5,47.2299340108226
2023-04-13,East,Clothing,198,197,1,0,2023,4,13,3,2,0,110.0,155.0,74.0,141.14285714285714,179.63333333333333,52.73970222210381
2023-04-14,East,Clothing,233,263,1,0,2023,4,14,4,2,0,198.0,209.0,228.0,144.57142857142858,179.8,58.366249216640924
2023-04-15,East,Clothing,257,279,0,0,2023,4,15,5,2,0,233.0,158.0,97.0,158.71428571428572,185.13333333333333,72.45622652267195
2023-04-16,East,Clothing,122,102,0,0,2023,4,16,6,2,0,257.0,115.0,208.0,159.71428571428572,182.26666666666668,71.7976654349203
2023-04-17,East,Clothing,57,90,0,0,2023,4,17,0,2,0,122.0,58.0,100.0,159.57142857142858,180.83333333333334,72.0343833245789
2023-04-18,East,Clothing,223,126,0,0,2023,4,18,1,2,0,57.0,140.0,128.0,171.42857142857142,184.0,75.04411401048742
2023-04-19,East,Clothing,61,41,0,0,2023,4,19,2,2,0,223.0,110.0,325.0,164.42857142857142,175.2,83.53413901485051
2023-04-20,East,Clothing,121,188,0,0,2023,4,20,3,2,0,61.0,198.0,182.0,153.42857142857142,173.16666666666666,83.44630437763978
2023-04-21,East,Clothing,85,70,0,0,2023,4,21,4,2,0,121.0,233.0,231.0,132.28571428571428,168.3,78.52964256829871
2023-04-22,East,Clothing,205,224,0,0,2023,4,22,5,2,0,85.0,257.0,189.0,124.85714285714286,168.83333333333334,66.26821402811595
2023-04-23,East,Clothing,228,184,0,0,2023,4,23,6,2,0,205.0,122.0,125.0,140.0,172.26666666666668,76.78324470004284
2023-04-24,East,Clothing,176,202,0,0,2023,4,24,0,2,0,228.0,57.0,298.0,157.0,168.2,68.01715469889432
2023-04-25,East,Clothing,163,201,0,0,2023,4,25,1,2,0,176.0,223.0,136.0,148.42857142857142,169.1,61.81115633620711
2023-04-26,East,Clothing,240,312,0,0,2023,4,26,2,2,0,163.0,61.0,280.0,174.0,167.76666666666668,56.403309595566455
2023-04-27,East,Clothing,140,119,0,0,2023,4,27,3,2,0,240.0,121.0,245.0,176.71428571428572,164.26666666666668,53.82599832086796
2023-04-28,East,Clothing,196,125,0,0,2023,4,28,4,2,0,140.0,85.0,178.0,192.57142857142858,164.86666666666667,35.552107967775456
2023-04-29,East,Clothing,84,114,0,0,2023,4,29,5,2,0,196.0,205.0,244.0,175.28571428571428,159.53333333333333,53.42506991327274
2023-04-30,East,Clothing,104,79,0,0,2023,4,30,6,2,0,84.0,228.0,177.0,157.57142857142858,157.1,53.590599744286955
2023-05-01,East,Clothing,211,219,0,0,2023,5,1,0,2,0,104.0,176.0,201.0,162.57142857142858,157.43333333333334,57.11350436588854
2023-05-02,East,Clothing,142,197,0,0,2023,5,2,1,2,0,211.0,163.0,251.0,159.57142857142858,153.8,57.63638070656735
2023-05-03,East,Clothing,199,259,0,0,2023,5,3,2,2,0,142.0,240.0,133.0,153.71428571428572,156.0,49.62766125765702
2023-05-04,East,Clothing,156,210,0,0,2023,5,4,3,2,0,199.0,140.0,177.0,156.0,155.3,49.25782509747383
2023-05-05,East,Clothing,97,119,0,0,2023,5,5,4,2,0,156.0,196.0,113.0,141.85714285714286,154.76666666666668,50.064720017954585
2023-05-06,East,Clothing,288,258,0,0,2023,5,6,5,2,0,97.0,84.0,155.0,171.0,159.2,67.21111019268554
2023-05-07,East,Clothing,188,100,0,0,2023,5,7,6,2,0,288.0,104.0,209.0,183.0,158.5,60.4097122434242
2023-05-08,East,Clothing,235,223,0,0,2023,5,8,0,2,0,188.0,211.0,158.0,186.42857142857142,161.06666666666666,62.89371230591362
2023-05-09,East,Clothing,151,216,0,0,2023,5,9,1,2,0,235.0,142.0,115.0,187.71428571428572,162.26666666666668,61.91853326674287
2023-05-10,East,Clothing,159,117,0,0,2023,5,10,2,2,0,151.0,199.0,58.0,182.0,165.63333333333333,62.54598308444742
2023-05-11,East,Clothing,112,158,0,0,2023,5,11,3,2,0,159.0,156.0,140.0,175.71428571428572,164.7,67.601070715668
2023-05-12,East,Clothing,311,320,1,0,2023,5,12,4,2,0,112.0,97.0,110.0,206.28571428571428,171.4,74.1433617745923
2023-05-13,East,Clothing,311,179,1,0,2023,5,13,5,2,0,311.0,288.0,198.0,209.57142857142858,175.16666666666666,78.73554289065194
2023-05-14,East,Clothing,114,149,0,0,2023,5,14,6,2,0,311.0,188.0,233.0,199.0,171.2,86.6814090025459
2023-05-15,East,Clothing,119,86,0,0,2023,5,15,0,2,0,114.0,235.0,257.0,182.42857142857142,166.6,89.68808382919306
2023-05-16,East,Clothing,206,136,0,0,2023,5,16,1,2,0,119.0,151.0,122.0,190.28571428571428,169.4,88.88140841539777
2023-05-17,East,Clothing,213,251,0,0,2023,5,17,2,2,0,206.0,159.0,57.0,198.0,174.6,88.05301433416868
2023-05-18,East,Clothing,115,153,0,0,2023,5,18,3,2,0,213.0,112.0,223.0,198.42857142857142,171.0,87.57065174828281
2023-05-19,East,Clothing,82,107,0,0,2023,5,19,4,2,0,115.0,311.0,61.0,165.71428571428572,171.7,81.03849761217243
2023-05-20,East,Clothing,186,260,0,0,2023,5,20,5,2,0,82.0,311.0,121.0,147.85714285714286,173.86666666666667,52.40047255330345
2023-05-21,East,Clothing,157,92,0,0,2023,5,21,6,2,0,186.0,114.0,85.0,154.0,176.26666666666668,50.246061205497995
2023-05-22,East,Clothing,128,179,0,0,2023,5,22,0,2,0,157.0,119.0,205.0,155.28571428571428,173.7,49.30758658906436
2023-05-23,East,Clothing,330,489,1,0,2023,5,23,1,2,0,128.0,206.0,228.0,173.0,177.1,81.99999999999989
2023-05-24,East,Clothing,179,207,0,0,2023,5,24,2,2,0,330.0,213.0,176.0,168.14285714285714,177.2,80.223497329707
2023-05-25,East,Clothing,116,166,1,0,2023,5,25,3,2,0,179.0,115.0,163.0,168.28571428571428,175.63333333333333,80.11390700270508
2023-05-26,East,Clothing,154,227,0,0,2023,5,26,4,2,0,116.0,82.0,240.0,178.57142857142858,172.76666666666668,71.32988420677803
2023-05-27,East,Clothing,251,190,0,0,2023,5,27,5,2,0,154.0,186.0,140.0,187.85714285714286,176.46666666666667,76.50147835484077
2023-05-28,East,Clothing,140,81,0,0,2023,5,28,6,2,0,251.0,157.0,196.0,185.42857142857142,174.6,77.90134175750137
2023-05-29,East,Clothing,185,244,0,0,2023,5,29,0,2,0,140.0,128.0,84.0,193.57142857142858,177.96666666666667,73.76733048998742
2023-05-30,East,Clothing,217,317,0,0,2023,5,30,1,2,0,185.0,330.0,104.0,177.42857142857142,181.73333333333332,46.118893969308935
2023-05-31,East,Clothing,231,326,0,0,2023,5,31,2,2,0,217.0,179.0,211.0,184.85714285714286,182.4,50.403136712670666
2023-06-01,East,Clothing,205,116,0,0,2023,6,1,3,2,0,231.0,116.0,142.0,197.57142857142858,184.5,40.36441148196879
2023-06-02,East,Clothing,146,122,0,0,2023,6,2,4,2,0,205.0,154.0,199.0,196.42857142857142,182.73333333333332,41.888173123436964
2023-06-03,East,Clothing,267,277,0,0,2023,6,3,5,2,0,146.0,251.0,156.0,198.71428571428572,186.43333333333334,45.631547149292174
2023-06-04,East,Clothing,87,134,0,0,2023,6,4,6,2,0,267.0,140.0,97.0,191.14285714285714,186.1,59.336409765080184
2023-06-05,East,Clothing,200,112,0,0,2023,6,5,0,2,0,87.0,185.0,288.0,193.28571428571428,183.16666666666666,59.348446443340656
2023-06-06,East,Clothing,165,226,0,0,2023,6,6,1,2,0,200.0,217.0,188.0,185.85714285714286,182.4,59.139463900818114
2023-06-07,East,Clothing,180,196,0,0,2023,6,7,2,2,0,165.0,231.0,235.0,178.57142857142858,180.56666666666666,55.69218120723075
2023-06-08,East,Clothing,45,81,0,0,2023,6,8,3,2,0,180.0,205.0,151.0,155.71428571428572,177.03333333333333,73.1384857324656
2023-06-09,East,Clothing,134,152,0,0,2023,6,9,4,2,0,45.0,146.0,159.0,154.0,176.2,73.54363783949393
2023-06-10,East,Clothing,224,277,0,0,2023,6,10,5,2,0,134.0,267.0,112.0,147.85714285714286,179.93333333333334,63.664298135947696
2023-06-11,East,Clothing,189,198,0,0,2023,6,11,6,2,0,224.0,87.0,311.0,162.42857142857142,175.86666666666667,58.90913099245049
2023-06-12,East,Clothing,84,91,0,0,2023,6,12,0,2,0,189.0,200.0,311.0,145.85714285714286,168.3,62.76790201854369
2023-06-13,East,Clothing,89,58,0,0,2023,6,13,1,2,0,84.0,165.0,114.0,135.0,167.46666666666667,65.42170893518433
2023-06-14,East,Clothing,174,246,0,0,2023,6,14,2,2,0,89.0,180.0,119.0,134.14285714285714,169.3,64.7699224728796
2023-06-15,East,Clothing,161,175,0,0,2023,6,15,3,2,0,174.0,45.0,206.0,150.71428571428572,167.8,51.67757181380918
2023-06-16,East,Clothing,152,111,0,0,2023,6,16,4,2,0,161.0,134.0,213.0,153.28571428571428,165.76666666666668,51.152433261492114
2023-06-17,East,Clothing,245,245,0,0,2023,6,17,5,2,0,152.0,224.0,115.0,156.28571428571428,170.1,56.34333526311168
2023-06-18,East,Clothing,76,113,0,0,2023,6,18,6,2,0,245.0,189.0,82.0,140.14285714285714,169.9,61.371623658464244
2023-06-19,East,Clothing,97,90,0,0,2023,6,19,0,2,0,76.0,84.0,186.0,142.0,166.93333333333334,59.559494065457876
2023-06-20,East,Clothing,213,310,0,0,2023,6,20,1,2,0,97.0,89.0,157.0,159.71428571428572,168.8,59.609043736987346
2023-06-21,East,Clothing,167,106,0,0,2023,6,21,2,2,0,213.0,174.0,128.0,158.71428571428572,170.1,59.38774925777822
2023-06-22,East,Clothing,94,78,0,0,2023,6,22,3,2,0,167.0,161.0,330.0,149.14285714285714,162.23333333333332,64.16496596385628
2023-06-23,East,Clothing,154,184,0,0,2023,6,23,4,2,0,94.0,152.0,179.0,149.42857142857142,161.4,64.18425856562514
2023-06-24,East,Clothing,125,85,0,0,2023,6,24,5,2,0,154.0,245.0,116.0,132.28571428571428,161.7,48.51705640189583
2023-06-25,East,Clothing,214,166,0,0,2023,6,25,6,2,0,125.0,76.0,154.0,152.0,163.7,49.85311758890621
2023-06-26,East,Clothing,183,114,0,0,2023,6,26,0,2,0,214.0,97.0,251.0,164.28571428571428,161.43333333333334,44.33100602555811
2023-06-27,East,Clothing,204,295,0,0,2023,6,27,1,2,0,183.0,213.0,140.0,163.0,163.56666666666666,42.786290639253146
2023-06-28,East,Clothing,109,141,0,0,2023,6,28,2,2,0,204.0,167.0,185.0,154.71428571428572,161.03333333333333,47.2642016954136
2023-06-29,East,Clothing,74,52,0,0,2023,6,29,3,2,0,109.0,94.0,217.0,151.85714285714286,156.26666666666668,51.92118569340939
2023-06-30,East,Clothing,79,61,0,0,2023,6,30,4,2,0,74.0,154.0,231.0,141.14285714285714,151.2,58.70101808154183
2023-07-01,East,Clothing,184,210,0,0,2023,7,1,5,3,0,79.0,125.0,205.0,149.57142857142858,150.5,60.21311358515704
2023-07-02,East,Clothing,62,51,0,0,2023,7,2,6,3,0,184.0,214.0,146.0,127.85714285714286,147.7,60.51288725395197
2023-07-03,East,Clothing,157,209,0,0,2023,7,3,0,3,0,62.0,183.0,267.0,124.14285714285714,144.03333333333333,57.27544142541523
2023-07-04,East,Clothing,66,112,0,0,2023,7,4,1,3,0,157.0,204.0,87.0,104.42857142857143,143.33333333333334,48.245404419685734
2023-07-05,East,Clothing,182,121,0,0,2023,7,5,2,3,0,66.0,109.0,200.0,114.85714285714286,142.73333333333332,56.569805171512115
2023-07-06,East,Clothing,257,131,1,0,2023,7,6,3,3,0,182.0,74.0,165.0,141.0,145.8,74.10802925459545
2023-07-07,East,Clothing,60,89,0,0,2023,7,7,4,3,0,257.0,79.0,180.0,138.28571428571428,141.8,77.0469862826449
2023-07-08,East,Clothing,162,171,0,0,2023,7,8,5,3,0,60.0,184.0,45.0,135.14285714285714,145.7,75.3003509762261
2023-07-09,East,Clothing,82,60,0,0,2023,7,9,6,3,0,162.0,62.0,134.0,138.0,143.96666666666667,72.38554183444815
2023-07-10,East,Clothing,65,89,0,0,2023,7,10,0,3,0,82.0,157.0,224.0,124.85714285714286,138.66666666666666,76.5907491616503
2023-07-11,East,Clothing,54,39,0,0,2023,7,11,1,3,0,65.0,66.0,189.0,123.14285714285714,134.16666666666666,78.24412346715143
2023-07-12,East,Clothing,96,92,0,0,2023,7,12,2,3,0,54.0,182.0,84.0,110.85714285714286,134.56666666666666,74.10449507604899
2023-07-13,East,Clothing,64,44,0,0,2023,7,13,3,3,0,96.0,257.0,89.0,83.28571428571429,133.73333333333332,37.56201221852667
2023-07-14,East,Clothing,64,72,0,0,2023,7,14,4,3,0,64.0,60.0,174.0,83.85714285714286,130.06666666666666,37.177181941922946
2023-07-15,East,Clothing,96,99,0,0,2023,7,15,5,3,0,64.0,162.0,161.0,74.42857142857143,127.9,16.890403023187474
2023-07-16,East,Clothing,268,260,1,0,2023,7,16,6,3,0,96.0,82.0,152.0,101.0,131.76666666666668,75.47847375245462
2023-07-17,East,Clothing,49,45,0,0,2023,7,17,0,3,0,268.0,65.0,245.0,98.71428571428571,125.23333333333333,76.97773332965455
2023-07-18,East,Clothing,114,141,0,0,2023,7,18,1,3,0,49.0,54.0,76.0,107.28571428571429,126.5,74.46859357186362
2023-07-19,East,Clothing,71,94,0,0,2023,7,19,2,3,0,114.0,96.0,97.0,103.71428571428571,125.63333333333334,75.68952874674767
2023-07-20,East,Clothing,48,90,0,0,2023,7,20,3,3,0,71.0,64.0,213.0,101.42857142857143,120.13333333333334,77.31290781160476
